question,choices,answer
"A certain liquid passes through a drain at a rate of w/25 gallons every x seconds. At that rate, how many minutes will it take y gallons to pass through the drain?","['y/(1200xy)', '20xy/w', '5xy/(12w)', 'w/(3xy)', '3y/(wx)']",C
Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?,"['22', '27', '29', 'Cannot be determined', 'None of the above']",D
"If Jill needed to buy 10 bottles of soda for a party in which 8 people attended, how many bottles of soda will she need to buy for a party in which 12 people are attending?","['6', '8', '10', '12', '14']",C
"Three friends Alan, Roger and Peter attempt to answer a question on an exam. Alan randomly guesses the answer, giving him a 1/5 probability of guessing correctly. Roger cheats by looking at the paper of the student in front of him, giving him a 2/3 probability of answering correctly. And Peter dutifully performs the calculations, then marks the answer, giving him a 5/6 probability of a correct answer. What is the probability that the question is answered correctly, but not via cheating?","['1/18', '1/9', '23/90', '5/18', '13/45']",A
"Allen starts from X, goes to Y. At the same time Bob starts from Y and goes towards X. Once Allen reaches Y he changes his direction and returns to X. Once Bob reaches X, he changes his direction and returns to Y. Throughout Allen travels at 54 kmph and Bob travels at 78kmph. By the time they meet for the second time, Bob covers 48 km more than Allen. Find the distance between X and Y.","['144km', '72 km', '126km', '84 km', '48km']",E
Sachin was twice as old as Ajay 10 years back. How old is Ajay today if Sachin will be 40 years old in 10 years,"['18', '25', '15', '20', '21']",D
"A number of friends decided to go on a picnic and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rs. 4 extra, each. The number of those who attended the picnic was","['8', '12', '16', '24', '25']",A
"In a class, 8% of total students are interested in Football. 4/5 of total students are interested in Cricket. 10% of total students are interested in Basketball and remaining 20 students are not interested in any games. How many students are there in the class?","['850', '800', '900', '950', '1000']",E
Car ‘X’ covers a distance of 320 kms in 8 hours and car ‘Y’ covers a distance of 415 kms in 5 hrs. What is the difference in the speed of the two cars?,"['42kms/hr', '41km/hr', '43kms/hr', '45kms/hr', 'None of these']",C
"Fernando purchased a university meal plan that allows him to have a total of 3 lunches and 3 dinners per week. If the cafeteria is closed on weekends and Fernando always goes home for a dinner on Friday nights, how many options does he have to allocate his meals?","['5C3*4C3', '5C4*4C2', '5C2*4C4', '5C6*4C5', '4C3*4C3']",A
"A grocery sells a bag of ice for $1.25, and makes 20% profit. If it sells 500 bags of ice, how much total profit does it make?","['125', '150', '225', '250', '275']",A
"Anna has 4 books. If she decide to arrange the 4 books in every possible combination and moved just one book every minute, how long would it taken by her ?","['22 minutes', '30 minutes', '15 minutes', '24 minutes', '35 minutes']",D
"Alex and Jacob works at a toy shop that make toys. Alex takes 7 hours to make a toy, and Jacob takes 9 hours to make a toy. During a month, both of them makes 35 toys in total. If both of them have worked for almost similar number of hours how many toys have been prepared by Jacob?","['15', '16', '17', '18', '19']",A
"The cross-section of a canal is shaped like a trapezium. If the canal is 10 m wide at the top and 6 m wide at the bottom and the area of cross-section is 640 square meters, the depth of cannel is?","['26', '28', '21', '80', '23']",D
"Jim filled his dog's bowl with dog food. Starting at 8:00 am, Jim's dog ate exactly once an hour, consuming exactly 1/3 of the dog food remaining in the bowl at each feeding session. Approximately, what percent of the original food was in the dog's bowl right before the dog began to eat at noon of the same day?","['20%', '25%', '30%', '35%', '40%']",A
Let A and B be independent events with P (A) = 0.2 and P(B) = 0.8. Find P(A/B)?,"['0.2', '0.4', '0.6', '1.2', '1.5']",A
"One gram of a certain health food contains 9 percent of the minimum daily requirement of vitamin E and 8 percent of the minimum daily requirement of vitamin A. If vitamins E and A are to be obtained from no other source, how many grams of the health food must be eaten daily to provide at least the minimum daily requirement of both vitamins?","['8.5', '10.5', '12.5', '14.5', '16.5']",C
"Everyone in the family earns money each month. If the total income of a family per month is $9000 and the median income is $3000, how many members are there in the family?","['2', '3', '4', '5', '6']",B
"Mark told John ""If you give me half your money I will have Rs.75. John said, ""if you give me one third of your money, I will have Rs.75/-. How much money did John have ?","['22', '60', '28', '26', '18']",B
"Two friends are eating a jar full of candies. Had P eaten alone, it would have taken him 10 minutes to finish the candies in the jar. Had Q eaten alone, it would have taken her 5 minutes to finish half the jar. Since both of them are eating simultaneously, how many minutes would it take them to empty the jar?","['4', '5', '6', '7', '8']",B
"If one third of 3/4 of a number is 21. Then, find the number?","['84', '66', '28', '19', '11']",A
"M = abc is a three digit number and N = cba, if M > N and M - N + 396c = 990. Then how many values of M are more than 300.","['20', '30', '40', '200', 'None']",A
"Boomtown urban planners expect the city’s population to increase by 10% per year over the next two years. If that projection were to come true, the population two years from now would be exactly double the population of one year ago. Which of the following is closest to the percent population increase in Boomtown over the last year?","['20%', '40%', '50%', '65%', '75%']",D
Machine A puts out a yo-yo every 6 minutes. Machine B puts out a yo-yo every 9 minutes. After how many minutes will they have produced 10 yo-yos?,"['24 minutes', '32 minutes', '36 minutes', '64 minutes', '72 minutes']",C
John would make the 3-letter codes with diffenrent 5 vowels and 20 consonants with the condition that the middle letter must be vowel and the first letter and the third letter must be different from each other and are both consonant. How many different codes can be made?,"['1,980', '2,020', '2,100', '2,200', '1,900']",E
"A coin made of alloy of aluminum and silver measures 2 x 15 mm (it is 2 mm thick and its diameter is 15 mm). If the weight of the coin is 30 grams and the volume of aluminum in the alloy equals that of silver, what will be the weight of a coin measuring 1 x 30 mm made of pure aluminum if silver is twice as heavy as aluminum?","['36 grams', '40 grams', '42 grams', '48 grams', '50 grams']",B
"A computer routine was developed to generate two numbers (x,y) the first being a random number between 0 and 100 inclusive, and the second being less than or equal to the square root of the first. Each of the following pair satisfies the routine except","['(99,10)', '(85,9)', '(50,7)', '(1,1)', '(1,0)']",A
The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. What is its length now?,"['18', '30', '6', '15', '12']",A
"Peter wants to find 10 additional people to form a scavenger hunt team with him. If he has 10 friends who would like to participate, how many choices does he have for forming his team?","['0', '1', '2', '3', '4']",B
"My wall contains 8 red colour ties, 13 violet colour ties,10 blue colour ties, 5 pink colour ties, 4 green colour ties. If electricity is gone and I want at least two ties of same colour then how many ties I should take out from my rack?","['2', '3', '4', '5', '6']",E
"If there are 5,000 voters out of which 20% are not eligible to vote and there are two candidates contesting. The winning candidate won by 15% of the votes. What is the total number of votes he got ?","['3267', '2678', '2797', '2300', '2781']",D
A bag of cat food weighs 7 pounds and 4 ounces. How much does the bag weigh in ounces?,"['108', '112', '116', '120', '124']",C
A rectangular piece of 150 sq m has a length which is 1m more than the 4 times the breadth. What is the perimeter of the piece?,"['60 m', '61 m', '62 m', '63 m', '64 m']",C
"If 120 is reduced to 96, what is the reduction percent?","['30%', '40%', '20%', '10%', '5%']",C
"Two ants are moving from their farms towards each other. Ant A is moving at a speed of 9 cm per hour and ant B is moving at a speed of 6 cm per hour. If the farms are 75 cm away from each other, what will be the distance (in cm) that ant A travels until meeting ant B?","['45', '48', '51', '54', '57']",A
"At its maximum speed, a space shuttle can travel 700m high in 40 seconds. It will also take 5 seconds to pass a point. What then is the length of the space shuttle?","['50 m', '75 m', '100 m', '125 m', '150 m']",C
"Two numbers are in the ratio 3:5. If 9 is subtracted from each, the new numbers are in the ratio 12:23. The smaller number is?","['21', '33', '35', '42', '58']",B
"In a bag of red and green sweets, the ratio of red sweets to green sweets is 3:4. If the bag contains 120 green sweets, how many red sweets are there?","['90', '80', '95', '100', '85']",A
"A point on the edge of a fan blade that is rotating in a plane 10 centimeters from the center of the fan. What is the distance traveled, in centimeters, by this point after 30 seconds when the fan runs at the rate of 300 revolutions per minutes?","['750pi', '1500pi', '1875pi', '3000pi', '7500pi']",D
A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?,"['270', '300', '280', '320', '315']",B
Five dozen toys are packed in a box and 98 boxes are kept in a tempo. How many tempos can lift 29400 toys in one round ?,"['4', '5', '7', '6', '8']",B
"A two digit number exceeds the sum of the digits of that number by 18. If the digit at the unit's place is double the digit in the ten's place, what is the number?","['12', '24', '42', '48', '49']",B
"During one season, a tennis team won 20 matches and lost 30% of their matches. What was the number of matches that the team lost?","['70', '30', '3', '7', '5']",C
"Roy was suffering from severe headaches. He went to see his doctor and the doctor gave him 5 tablets asking him to take one tablet every 15 minutes.
How much time will it take Roy to consume all the 5 tablets?","['45 Min', '75 Min', '90 Min', '120 Min', '60 Min']",E
"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?","['226', '230', '240', '260', '280']",B
"There is a 90% chance that a registered voter in Burghtown voted in the last election. If five registered voters are chosen at random, what is the approximate likelihood that exactly four of them voted in the last election?","['26.2%', '32.8%', '43.7%', '59.0%', '65.6%']",E
"If 27 bottles of soda cost A cents, how much will B bottles cost in dollars?","['AB/2700', '27/AB', 'AB/270', '2700/AB', '100AB/27']",A
"The original retail price of an appliance was 60 percent more than its wholesale cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for what percent more than its wholesale cost?","['20%', '28%', '36%', '40%', '42%']",B
900 + 5 × 12 = ?,"['820', '202', '420', '209', '960']",E
Two cars start at the same time from opposite ends of a highway that is 50 miles long. One car is riding at 12 mph and the second car is riding at 13 mph. How long after they begin will they meet?,"['1', '1.25', '1.50', '1.75', '2']",E
8 man work for 6 days to complete a work. How many men are required to complete same work in 1/2 day.,"['93 men', '94 men', '95 men', '96 men', '97 men']",D
"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?","['36', '15', '17', '5', '7']",A
Anna is able to buy 5 more articles for $300 after the price of each article decreased by 15%. What is the new selling price of each article?,"['$8', '$10', '$13.6', '$22.9', '$40']",C
"IF one gallon of soft drink is made of 40% orange juice and 60% water, how many additional gallons of orange juice must be mixed in order to make the orange juice 60% of the soft drink?","['0.5', '1', '1.25', '1.5', '2']",A
The difference between simple interest and C.I. at the same rate for Rs.5000 for 2 years in Rs.72. The rate of interest is?,"['10%', '12%', '6%', '8%', '4%']",B
"If a man rows at the rate of 4 kmph in still water and his rate against the current is 2 kmph, then the man's rate along the current is:","['15 kmph', '6 kmph', '12 kmph', '14 kmph', '6 kmph']",E
"If a subscription for 15 issues of a magazine costs $42.00 and represents a saving of 25 percent of the cover prices, what is the cover price per issue?","['$7.73', '$6.73', '$5.73', '$4.73', '$3.73']",E
"A rectangular parking space is marked out by painting three of its sides. If the length of the unpainted side is 9 feet, and the sum of the lengths of the painted sides is 37 feet, then what is the area of the parking space in square feet?","['46', '81', '126', '252', 'None']",C
"A shopkeeper employed a servant at a monthly salary of 1500. In addition to it, he agreed to pay him a commission of 15% on the monthly sale. How much sale in Rupees should the servant do if he wants his monthly income as 6000?","['30000', '415000', '31500', '50000', 'None of these']",A
"Kevin drove from A to B at a constant speed of 70 mph. Once he reached B, he turned right around with pause, and returned to A at a constant speed of 90 mph. Exactly 3 hours before the end of his trip, he was still approaching B, only 70 miles away from it. What is the distance between A and B?","['180', '90', '270', '360', 'None of the above']",A
"A rope 20 meters long is cut into two pieces. If the length of one piece of rope is 3 meters shorter than the length of the other, what is the length, in meters, of the longer piece of rope?","['7.5', '8.9', '9.9', '11.5', '11.7']",D
"In a railway station, there are two trains going. One in the harbor line and one in the main line, each having a frequency of 10 minutes. The main line service starts at 5 o'clock and the harbor line starts at 5.02 A.M. A man goes to the station every day to catch the first train that comes. What is the probability of the man catching the first train?","['0.9', '0.8', '0.6', '0.65', '1.5']",B
"At what price should the Karan mark a sewing machine that costs him Rs. 1200/- so that even after offering a 20% discount, he makes 20% profit?","['1,879', '1,875', '1,876', '1,872', '1,800']",E
"Julie’s yard is rectangular. One side of the yard is 100 feet wide. The total area of the yard is 3,000 square feet. What is the length of the other side of the yard?","['30 feet', '20 feet', '10 feet', '50 feet', '60 feet']",A
The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500?,"['$50000', '$40000', '$30000', '$20000', 'None of these']",D
A cyclist travels at 12 miles per hour. How many minutes will it take to travel 48 miles?,"['1', '240', '30', '60', '120']",B
Add: +45 and -30,"['-30', '+30', '0', '15', '-15']",D
"A book was sold for Rs 27.50 with a profit of 10%. If it were sold for Rs. 25.75, then would have been percentage of profit and loss ?","['2% Profit', '3% Profit', '2% Loss', '3% Loss', '4% Loss']",B
"Two numbers are said to be relatively prime if they share no common positive factors other than 1. Set S contains the set of integers from 1 to 1,000, inclusive. What is the probability that a number chosen from S is relatively prime to 1,000?","['5/7', '3/5', '4/7', '2/5', '2/7']",D
"Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.)","['3', '4', '5', '10', '20']",D
"Suppose you can travel from a place M to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from M to Q ?","['24', '36', '72', '84', 'None']",B
"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?","['5(√3 + 1)', '6(√3 + √2)', '7(√3 – 1)', '8(√3 – 2)', 'None of these']",A
"The average wages of a worker during a fortnight comprising of 15 consecutive working days was $90 per day. During the first 7 days, his average wage was $87 per day and the average wage during the last 7 days was $92 per day. What was his wage on the 8th day?","['$83', '$92', '$90', '$97', '$104']",D
"64 boys and 40 girls form a group for social work. During their membership drive, the same number of boys and girls joined the group. How many members does the group have now, if the ratio of boys to girls is 4:3?","['277', '288', '200', '277', '168']",E
"On dividing 2272 and 875 by a 3-digit number N, we get the same remainder. The sum of the digits of N is:","['10', '11', '12', '13', '14']",A
"A student instead of finding the value of 7/8 of a number, found the value of 7/18 of the number. If his answer differed from the actual one by 770, find the that number.","['1584', '2520', '1728', '1656', 'None']",A
"Train ‘A’ leaves Mumbai Central for Lucknow at 11 am, running at the speed of 40 kmph. Train ‘B’ leaves Mumbai Central for Lucknow by the same route at 2 pm on the same day, running at the speed of 72 kmph. At what time will the two trains meet each other?","['12 am on the next day', '5 am on the next day', '5 pm on the next day', '2 pm on the next day', 'None of these']",A
10kg of a mixture contains 30% sand and 70% clay. In order to make the mixture contain equal quantities of clay and sand how much of the mixture is to be removed and replaced with pure sand?,"['10/7', '20/7', '30/7', '40/7', '50/7']",B
"The greatest common factor of two positive integers is 11. The least common multiple of these two integers is 7700. If one of the integers is 350, what is the other?","['242', '308', '352', '412', '456']",A
"Silu and Meenu were walking on the road.
Silu said, ""I weigh 51 Kgs. How much do you weigh?""
Meenu replied that she wouldn't reveal her weight directly as she is overweight.
But she said, ""I weigh 29 Kgs plus half of my weight. ""How much does Meenu weigh?","['12', '28', '27', '58', '91']",D
"A rectangular solid, 3 x 4 x 15, is inscribed in a sphere, so that all eight of its vertices are on the sphere. What is the diameter of the sphere?","['13.3542', '15.8113', '18.3451', '19.5667', '20.8888']",B
The difference between the squares of two numbers is 256000 and the sum of the numbers is 1000. The numbers are,"['600, 400', '628, 372', '640, 360', 'None of these', 'Cannot be determined']",B
Find 25/12*5,"['2.5498', '0.4167', '3.3987', '8.5497', '5.6312']",B
"The number of water lilies on a certain lake doubles every two days. If there is exactly one water lily on the lake, it takes 60 days for the lake to be fully covered with water lilies. In how many days will the lake be fully covered with lilies, if initially there were 64 water lilies on it?","['15', '28', '30', '53', '59']",D
"30 is subtracted from a number, it is reduced to its one third. What is the value of 50% of that number?","['22.5', '84', '21', '24', '25']",A
[(272 - 32) (124 + 176)] / (17 x 15 - 15) = ?,"['0', '2.25', '300', '400', 'None of these']",C
"If one of the roots of the quadratic equation x^2 + mx + 22 = 0 is 1.5, then what is the value of m?","['-23.5', '-17.5', '-10.5', '-16.2', 'Cannot be determined']",D
5 horses are in a race. Mr.Jain selects two of horses at random and bets on them. The probability that he selected the winning horse is,"['1/5', '2/5', '3/5', '4/5', '6/5']",B
The capacity of a tank of dimensions (8 m × 6 m × 2.5 m) is,"['120 litres', '1200 litres', '12000 litres', '120000 litres', 'None of these']",D
When folded into two equal halves a rectangular sheet had a perimeter of 48cm for each part folded along one set of sides and the same is 66cm when folded along the other set of sides. Find the area of the sheet.,"['1584', '1120', '792', '1320', '1200']",B
"An organization decided to raise Rs. 6 lakh by collecting equal contribution from each of its employees. If each of them had contributed Rs. 60 extra, the contribution would have been Rs. 6.24 lakh. How many employees are there in that organization?","['300', '200', '400', '100', '500']",C
"Jerry purchased a 1-year $5,000 bond that paid an annual interest rate of 12% compounded every six months. How much interest had this bond accrued at maturity?","['$5102', '$618', '$216', '$202', '$200']",B
"Christopher and Jonathan were having bets. They decide that a coin will be flipped twenty times and each time it turns heads, Christopher will give $2 to Jonathan and each time it turns out to be Tails, Jonathan will give 3$ to Christopher. After flipping for twenty times none of the both won or lost any amount.
How many times did the coin landed on Heads ?","['10', '23', '16', '18', '12']",E
"A man borrows Rs.360 If he pays it back in 12 monthly installments of Rs.31.50, what is his interest rate?","['1.5%', '4.5%', '10%', '5%', '12%']",D
"The average weight of 10 oarsmen in a boat is increased by 1.8 kg when one of the crew, who weighs 53 kg is replaced by a new man. Find the weight of the new man.","['71', '62', '43', '67', '40']",A
A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?,"['1 hr 23 min', '1 hr 15 min', '1 hr 8 min', '56 min', '55 min']",D
"In a large forest, 300 deer were caught, tagged, and returned during 2001. During 2002, 500 deer were caught at random, of which only 20 had tags from the previous year. If the percent of deer in the forest that had tags during the second year and were caught in the 500 deer sample is representative of the percent of the total deer population in the forest with tags, what is the total deer population in the forest (assuming no change in population between 2001 and 2002)?","['300', '500', '5000', '6000', '7500']",E
"A car finishes a journey in 20 hours at the speed of 60 km/hr. If the same distance is to be covered in 10 hours, how much speed does the car gain?","['80 kmph', '50 kmph', '120 kmph', '70 kmph', '80 kmph']",C
Mr.Sam takes 17 hours to go by train to a certain city and return by car. He loses 4 hours if he goes both ways by train. How long would he have taken if he had traveled by car in both ways?,"['22 hrs', '18 hrs', '16 hrs', '20 hrs', '13 hrs']",E
"A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day?","['80', '120', '240', '320', '360']",E
"Decipher the following multiplication table:
M A D
B E
-------------
M A D
R A E
-------------
A M I D","['9 2 0 0', '9 2 0 9', '9 2 0 1', '9 2 0 7', '9 2 2 2']",D
"Joe's age, Joe's sister's age and Joe’s fathers age sums up to 100. When Joe is as old as his father, Joe's sister will be twice as old as now. When Joe is as old as his father then his father is twice as old as when his sister was as old as her father. Find the age of Joe's father?","['45', '48', '50', '55', '58']",C
[5 + ? × 19 - 15 - 7]/[13 × 13 - 156] = 6,"['4', '4.5', '5', '5.5', '6.5']",C
"Exactly 2/5th of the children in a certain class are girls. If there are 100 boys in the class, how many girls are in the class?","['50', '100', '150', '200', '70']",C
"If 75 percent of the employees of a certain company take a winter vacation, 40 percent take a winter and a summer vacation, and 20 percent take neither a winter nor a summer vacation, what Q percent of the employees take a summer vacation but not a winter vacation?","['5%', '15%', '25%', '35%', '45%']",A
"If 6x - y = 24 and y = 3x, what is the value of x?","['8', '9', '10', '11', '12']",A
A pen company produces very fine quality of writing pens. Company knows that on average 10% of the produced pens are always defective so are rejected before packing. Company promises to deliver 7200 pens to its wholesaler at Rs. 10 each. It estimates the overall profit on all the manufactured pens to be 25%. What is the manufactured cost of each pen?,"['Rs. 6', 'Rs. 7.2', 'Rs. 5.6', 'Rs. 8', 'None of these']",B
