question,choices,answer
You are seeking to provide yourself what when you're applying for a job?,"['work', 'employment', 'income', 'hope', 'offer']",C
Where could you find a barbershop that is not in a separate building from other stores?,"['hair salon', 'small town', 'shopping mall', 'village', 'city']",C
In what society did slaves outnumber the citizens?,"['poor countries', 'ancient rome', 'plantation', 'dungeon', 'canada']",B
The committee had its first meeting.  John was glad to be a part of it.  This is what he ran for.  Where might the meeting be?,"['church', 'city hall', 'school', 'boardroom', 'office building']",B
"Tired of his sickness, what did the man seek as he visited various doctors?","['being well', 'wounds', 'cause person to hoarse', 'healthy', 'healthiness']",E
Where would you go if you need a hardware store?,"['washington', 'sears', 'small town', 'oregon', 'canada']",B
What do people call it when they are going for run?,"['trip', 'running in', 'working out', 'get tired', 'falling down']",C
What do people do if they are near the sea?,"['write stories', 'talk to each other', 'go fishing', 'die of starvation', 'eat fish']",E
"James went to outer space for the first time.  He packed everything, including his peanut butter, into a single object.  Where might his things be?","['universe', 'jar', 'box', 'closet', 'suitcase']",E
"The old man would be stuck staying in bed, part of the nurse's job was to move him so he wouldn't get what?","['bed sores', 'missing out', 'nervous', 'comfort', 'resting']",A
Other than a refrigerator or a market where would you find fish?,"['mirach', 'stream', 'refrigerator', 'market', 'aquarium']",B
What does someone who likes to hear someone play violin enjoy?,"['like music', 'inspiring', 'make music', 'learn how to play', 'ears']",A
What lawn is most likely to be on a street?,"['green yard', 'suburbia', 'golf course', 'front yard', 'michigan']",D
Why does having a disability sometimes making academic tasks hard for a person?,"['mentally challenged', 'have choice', 'lots of space', 'hungry', 'acknowledgment']",A
If you were lazy you'd probably choose to just watch television simply because what?,"['entertained', 'see favorite show', 'plug in', 'get comfortable', ""you're bored""]",E
What new things can lead to understanding better?,"['interest in', 'coffee table', 'increase knowledge', 'ideas', 'wisdom']",D
What is something that would become uninhabited if it did not have a queen?,"['castle', 'bee hive', 'beehive', 'england', 'a drag show']",B
What does exercising immediately lead to?,"['relaxation', 'exhaustion', 'energetic', 'become stronger', 'use energy']",B
What would sex in a happy relationship be called?,"['nice act', 'wonderful thing', 'making love', 'last hour', 'feel good']",C
"The construction manager was communicating to the concerned financiers of the building, what was he briefing them on?","['collaboration', 'progress', 'bulldozer', 'exchanging ideas', 'static']",B
"The professor spoke in a reserved, conservative, and laconic tone, what kind of language was he avoiding?A","['bombastic', 'loquacious', 'verbose', 'talkative', 'prolix']",B
"Greg wasn't interested in academics or history, so when he was visiting the museum with his class he was crushed by what feeling?","['inspiration', 'itchiness', 'enjoyment', 'boredom', 'sore feet']",D
"Joe was a weasel, but he wasn't the sort who you kept was a pet.  He was the sort that used complex words that carried multiple different meanings.  Where might you find Joe","['chicken coop', 'law firm', 'classroom', 'terrarium', 'museum']",B
What is a place that has large cable hanging overhead?,"['radio shack', 'electrical device', 'shower', 'substation', 'television']",D
Where might customers go to walk around?,"['mall', 'park', 'market', 'found in restaurant', 'bookstore']",A
Shopping all day is likely to lead to?,"['obesity', 'bankruptcy', 'debt', 'tiredness', 'calluses']",D
Why do people engage in chatting with friends in class?,"['necessity', 'answers', 'inspiration', 'love', 'fun']",B
How may one feel after playing games for a long time?,"['fatigue', 'happiness', 'bournout', 'learning', 'losing']",A
The president keeps his pajamas where?,"['white house', 'corporation', 'closet', 'country', 'government']",A
Little cameras in the car made doing what easier?,"['technical difficulties', 'heat up', 'carpooler', 'set off', 'back up']",E
Where can you buy lettuce directly from the grower?,"['supermarket', 'grocery store', 'salad', ""farmer's market"", 'refrigerator']",D
In what kind of environment does an anemone live?,"['nursery', 'south pacific', 'desert', 'sea water', 'atlantic ocean']",D
Alcoholic refreshments are sometimes banned in what public places?,"['homeless shelter', 'bar', 'park', 'bridge', 'school']",C
What would use a musical instrument?,"['guitar', 'music room', 'orchestra', 'case', 'movie']",C
Two people were grooming each other in anticipation of a party.  Why might they be grooming?,"['looking pretty', 'positive', 'late', 'get', 'unclean']",A
Where is a ferret getting lots of attention likely to be found?,"['trouser leg', 'sick bay', 'own home', 'petting zoo', ""mother's hair""]",D
"Brian  took the tool  from the shelf. He thought no one noticed.  As he was talking out, the cashier told him to do what to it?","['drop', 'bring', 'move slowly', 'caretake', 'give']",A
Where might someone play with a frisbee?,"['golf course', 'park', 'roof', 'air', ""deadhead's van""]",B
What is a train-related expression for exhaustion?,"['have rest', 'run out of steam', 'go to sleep', 'tuckered out', 'stay in bed']",B
The helm is the steering control of what powered leisure vessel?,"['motorboat', 'south tyrol', 'tugboat', 'brig', 'sailing vessel']",A
What would happen if you are having a good time while chatting with friends?,"['agreement', 'communication', 'love', 'happiness', 'discord']",D
"I saw the receptionist carelessly toss my resume into the drawer, where did I want it to end up?","['file cabinet', 'nightstand', 'kitchen cabinet', 'office desk', 'the floor']",D
You will find many a cannon on what vessel full of criminals?,"['jail', 'fort', 'war museum', 'pirate ship', 'warship']",D
What is a positive effect of expressing yourself?,"['empowerment', 'misunderstanding', 'embarrassment', 'repercussions', 'falling down']",A
I had to go somewhere involuntarily is the same as?,"['arriving', 'might drive car', 'drive', 'stumbling down', 'get somewhere']",D
What happens when someone trips when going for run?,"['falling down', 'sweating', 'get tired', 'flying', 'working out']",A
"The people began thanking each other, and they sealed the deal by doing what?","['feel good', 'appreciation', 'kissing', 'shake hands', 'smile']",D
Which group of states is Louisiana part of?,"['deep south', ""98 of world's crayfish"", 'united states', 'gulf states', 'bible belt']",D
"She couldn't wait to see the performance, she stood in the line for the box office where?","['theatre', 'venue', 'theater district', 'movie theater', 'ballpark']",A
"They say dogs are a man's best friend, this is because of dog's pack mentality and being what?","['four legs', 'frightening', 'found outside', 'tail', 'faithful']",E
Climbing a hill can give you a good way to survey what?,"['great outdoors', 'the clown', 'virginia', 'landscape', 'countryside']",D
James wanted to know the truth because questions were weighing on him.  Learning would give him what?,"['lies', 'free mind', 'work to advantage', 'further knowledge', 'matter to']",B
"Sam wasn't lying, but he left out important details. He was being what?","['dishonesty', 'deceitful', 'imagination', 'deceptive', 'poker face']",B
"Someone is putting is carpeting that can handle shoes and heavy foot traffic, where is it being installed?","['gym', 'home or office', 'bedroom', 'church', 'houses']",A
What should everyone do who doesn't want to fight anymore?,"['explicate', 'pay tribute to king', 'hope for peace', 'wear shoes', 'do well']",C
"Though a mouse might prefer your house, you might also see him where?","['tin', 'department store', 'garden', 'small hole', 'cupboard']",C
Where did the group of in crowd guys throw their big party on campus?,"['fraternity house', 'neigborhood', 'ce ebrating mothers birthday', 'home', ""friend's house""]",A
"Life goes different ways for different folks, sometimes good friends have to what?","['comfort', 'keep secrets', 'leave', 'eat cake', 'part ways']",E
What do people with a lot of money do?,"['shake hands', 'pay bills', 'work hard', 'talk to each other', 'own property']",E
"John hated getting in line, but he wanted anyway.  Not breaking line was just what?","['agitation', 'common sense', 'civil', 'fatigue', 'longer lines']",B
"am was a pretty bad neighbour.  He was annoying, and considered to be a what?","['distant', 'foe', 'bore', 'remote person', 'hermit']",C
The ground floor of what structure would contain workers in suits and ties?,"['brownstone', 'highrise building', 'hotel', 'school', 'office building']",E
If you exercise intensely what can happen to your respiration?,"['tiredness', 'shortness of breath', 'injury', 'fitness', 'thirst']",B
A lot of people who wrestle are very?,"['train yourself', 'have strength', 'choke hold', 'strong', 'take lessons']",D
"If the world is materials, what is it made out of?","['fabric store', 'ideas', 'anything', 'physical world', 'science lab']",C
"When an elderly person needs help performing daily tasks, who might they call?","['creativity', 'hatred', 'caregiver', 'own house', 'much money']",C
If a person is on vacation what are they likely to achieve?,"['feel pleasure', 'look attractive', 'interesting experiences', 'compliments', 'relaxation']",A
What could happen after you start family due to babies crying?,"['regret', 'stressed', 'have sex', 'need more money', 'spend money']",B
Where can you buy shampoo along side items for nourishment?,"['hair salon', 'cabinet', 'supermarket', 'big box stores', 'at hotel']",C
If a mechanic attaches a chain to your bumper what is he likely driving?,"['obesity', 'bicycle', 'motorbike', 'jewelry store', 'tow truck']",E
"If you really wanted a grape, where would you go to get it?","['winery', 'fruit stand', 'field', 'kitchen', 'food']",B
What does everyone feel of monsters?,"['looking for love', 'afraid of', 'good at', 'make pet', 'different']",B
Where are unwanted advertisements often delivered to a home?,"['mail box', 'subway', 'mail bags', 'yard', 'television']",A
What leads a company to get in trouble?,"['mail order', 'branch out', 'commit crime', 'liquidated', 'procure']",C
How would chicken be served?,"['freezer', 'eaten', 'plate', 'fast food restaurant', 'dish']",C
Where would a soprano sing live for money?,"['opera house', 'movie', 'choit', 'theater', 'choir']",A
What is a lover likely to want to do with their partner?,"['build family together', 'fall in love', 'make love', 'complete', 'distance themselves']",C
"After a while playing, what was happening to the children?","['fights', 'competitiveness', 'having fun', 'getting tired', 'learning']",D
Where would you go if you want to get a newspaper with a specific title?,"['library', 'magazine article', 'archives', 'safe deposit box', 'page']",A
who uses a contraceptive device?,"['pharmacy', 'bedroom', 'person', 'men', 'drug store']",C
"Computers have always been cutting edge technology, so they what?","['networked', 'connect', 'cost money', 'do work', 'teach']",C
"It was my turn to stand watch, so where did I go for my shift?","['department store', 'bathroom cabinet', 'bedroom drawer', 'guard tower', 'jewellers']",D
"The ticket booth informed riders that the train was running late, so where was the ticket booth located?","['movie theatre', 'sports arena', 'school', 'metro station', 'auditorium']",D
When people are overly drunk how do the seem to others?,"['disoriented', 'appear ridiculous', 'walk off', 'throw up', 'raise hell']",B
"The person was cold and wet, where should he go?","['building', 'back home', 'hospital', 'demonstration', 'bus stop']",A
The ECB was focused on fighting inflation without concern for other issues.  This obviously caused what?,"['celebration', 'deflation', 'recession', 'spend more', 'problems']",E
Sam went climbing but wasn't good at it. He was nimble and had what?,"['fingers', 'dexterity', 'skill', 'muscles', 'strength']",B
If you are going public store when sad how many you feel?,"['sorrow', 'embarrassment', 'pain', 'sleepy', 'panic']",A
"The monger removed the bone, what was he looking to serve?","['octopus', 'fresh fish', 'skeleton', 'human body', ""dog's mouth""]",B
"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?","['reach tentative agreement', 'suicide', 'examine thing', 'commit murder', 'stay in bed']",A
"The seafood restaurant specialized in fresh caught Atlantic fish, but a controversy arose that it was getting them from the grimy rivers around where?","['new york', 'city', 'industrial district', 'coastal cities', 'boston']",A
What might be the result of going to market?,"['meeting new people', 'tedium', 'buy things', 'eating samples', 'bankruptcy']",A
How are people not likely to find those always holding  a remote?,"['attached', 'lovable', 'companionable', 'close', 'likely']",C
Where is a crab likely to enjoy it's food?,"['fish market', 'chinese market', 'delicious meal', 'tidal flats', 'crabcakes']",D
"The potatoes were ordered by the chef, where did they end up?","['restaurant', 'baked', 'fried', 'plate', 'countryside']",A
"When doing housework, what would be most useful to clean the patio?","['mop', 'mobility', 'vacuuming', 'toothbrush', 'broom']",E
A surface that doesn't have a slope would be what?,"['flat ground', 'downhill', 'straight', 'slanted', 'slopewash']",C
What is required for someone to be chatting with friends?,"['going to school', 'phone', 'socialcapabilities', 'having friends', 'computer']",D
What is a person using their whole body for work likely to complain of?,"['aching back', 'make mistakes', 'big muscles', 'lower back pain', 'sore muscles']",E
Where can you get a night table to take home?,"['hallway', 'homes', 'junk drawer', 'hotel', 'furniture store']",E
What form of government is most associated with kingdoms?,"['monarchy', 'ruled by government', 'europe', 'book', 'king']",A
Where would one find a shopping bag for packing groceries?,"['supermarket', 'home', 'closet', 'mart', 'hardware store']",A
Where would you hit a ball with a stick into other balls?,"[""child's hand"", 'pool table', 'street', 'toy box', 'soccer field']",B
"The book had deep meaning to the businessman, he always kept a copy of it beneath all his work in his what?","['shoe box', 'suitcase', 'synagogue', 'briefcase', 'backpack']",D
What do people consider chatting with friends when there is work to do ?,"['misunderstanding', 'silliness', 'laughter', 'learning about', 'idleness']",B
Where is a good place to plant an apple tree you just bought?,"['pennsylvania', 'across the street', 'front yard', 'countryside', 'park']",C
"My favorite type of entertainment are rollercoasters and ferris wheels, where should I go?","['theatre', 'fairgrounds', ""friend's house"", 'show', 'casino']",B
Where are leaves likely to cause an accident?,"['roof', 'ground', 'trees', 'field', 'street']",E
Why might a person take a vacation?,"['relaxation', 'good things in life', 'admiration', 'own house', 'needs money']",A
"She had seen over 50 marble fountains that day, where was she?","[""lenin's crypt"", 'front of casino', 'rome', 'public place', 'city']",C
"Prescriptions being the specialty the store charges higher prices for most other goods, I'd be paying for convenience if I bought a hair dryer where?","['drug store', 'high end store', 'beauty salon', 'box', 'bathroom']",A
Where would you find a tennis court made from red clay?,"['new york', 'wimbledon', 'town', 'country club', 'health club']",B
"Where can you get on a highway in San Diego, Omaha, and Atlanta?","['repairs', 'desert', 'atlas', 'united states', 'countryside']",D
What might be felt by a crowd during an intense competition?,"['tension', 'argument', 'sore muscles', 'stress', 'enemies']",A
What can happen after setting a cup on a table many times?,"['noise', 'spillage', 'clutter', 'picks up', 'it will get cold']",C
What do most companies not want to have relative to demand?,"['oversupply', 'plentitude', 'stockpile', 'superabundance', 'busy']",A
"His system wouldn't boot, he decided to buy a whole new one where?","['place', 'computer store', 'computer science', 'human body', 'online']",B
What the positive consequences of drinking alcohol?,"['have fun', 'death', 'frequent urination', 'slurring words', 'sickness']",A
What doorway is likely to have a large wooden door?,"['home', 'airport', 'skyscraper', 'castle', 'every building']",D
"The woman experienced great joy, but despite that this was a what?","['misery', 'sadness', 'bad time', 'sorrow', 'play time']",C
How might a person address someone who is leaving?,"['further cause', 'wave goodbye', 'attempt suicide', 'insulting them', 'thank god']",B
"When people social at a bar, the bartender will often do what to the cocktails they serve?","['meet people', 'have friends', 'mix', 'with people', 'see people']",C
If you drink too much liquor you are likely to do what?,"['stumble', 'food', 'coffee', 'throw up', 'choke']",D
Where could you be if you are sit quietly?,"['sit down', 'lay down', 'alone', 'go home', 'meditate']",C
Where do you get your teeth drill?,"['garage', 'army', 'basement', 'dentist office', 'repair shop']",D
"My house is very dry, with little water in the air. What tool should I use to fix this?","['humidifier', 'surface of earth', 'skating rink', 'ice cube', 'burn it to the ground']",A
What do you do to meet interesting people?,"['online date', 'socialize', 'explore', 'friendly', 'say hello']",B
What regions of a town would you have found a dime store?,"['commercial building', 'old movie', 'small neighborhood', 'past', 'mall']",C
Punishing physical jobs make people want to do what regarding exercise?,"['procrastinate', 'avoid', 'yell at', 'being nasty', 'ignore']",B
"Babies don't make the same noise adults make when applauding, but they still do what when excited?","['sleep soundly', 'trust parents', 'clap hands', 'jump around', 'like spinach']",C
What could prevent someone from starting to dance?,"['becoming tired', 'sore feet', 'sweat', 'wearing beads', 'having fun']",B
The football field was all ready for Friday night at the local what?,"['university', 'high school', 'city', 'college campus', 'excrete']",B
"The old man had a bad back, what did doing housework do to him?","['allergies', 'boredom', 'pride', 'pain and suffering', 'cleanliness']",D
"John was driving to work and running late, what did he feel?","['anxiety', 'boredom', 'pressure', 'getting there', 'stress']",E
Children's behavior is a direct reflection of their what?,"['parents', 'old people', 'play ball', 'many adults', 'grown ups']",A
What could you be doing if you are relaxing and are awake but have your eyes closed?,"['read book', 'listening to music', 'falling asleep', 'watching tv', 'reading']",B
What can be seen from the earth?,"['surface', 'sun', 'one moon', 'gravity', 'four seasons']",C
What sense does jumping rope give you?,"['being happy', 'sense of smell', 'become tired', 'sweating', 'sense of rhythm']",E
If I was using a hairpin on a female customer where do I need to put it?,"[""woman's hair"", 'hair salon', 'bathroom cabinet drawer', 'forehead', 'barber shop']",A
Where can I store this clean fork if I am not presently using it?,"['in a box', 'plane', 'kitchen drawer', 'table', 'plate']",C
"Attending meeting was his priority, he had to get a good what?","['understanding', 'start', 'getting information', 'result', 'fall asleep']",D
What do you want to prevent after you get an injury?,"['for it to become worse', 'become infected', 'hurts', 'cause bleeding', 'cause death']",B
"If person goes to a bar, spends a few hours hitting the bottle, then takes himself home, what might he get?","['full bladder', 'ticket', 'alcoholism', 'nausea', 'breaking']",B
After working out and releasing energy all day how are you likely to feel?,"['being fired', 'wonderful', 'exhaustion', 'damage', 'feeling cold']",C
When making a list what comes after the main item?,"['minor', 'impossibles', 'secondary', 'maintopmast', 'peripheral']",C
What does an emotional person tend to be?,"['expressive', 'excited', 'drunk', 'headache', 'eat every day']",A
What is something that people do early in the day?,"['believe in god', 'make tools', 'skydive', 'smoke pot', 'eat eggs']",E
What might have a ground floor?,"['closet', 'desk', 'tile', 'house', 'table']",D
"The graveyard was zoned by the pastor, where was it located?","['church property', 'every town', 'church grounds', 'cattle yard', 'arlington']",A
What can sex often be?,"['nice', 'good', 'dirty', 'great fun', 'eventful']",D
"The man sat down at the piano and played the A note for others to emulate, who was he with?","['music room', 'symphony orchestra', 'church', 'athletes', 'concert hall']",B
What should my family and I look into getting if we don't want an egg from the supermarket?,"['farm', 'henhouse', 'chicken coop', 'plate', ""bird's nest""]",B
"Football fans were storming the ticket booth, where were they?","['at a', 'movie theatre', 'clerk', 'metro station', 'sports arena']",E
"They may be out of bed, but for some they don't what until they eat breakfast?","['set an alarm', 'open mouth', 'prepare breakfast', 'wake up', 'buy food']",D
"The swimming pool couln't be refilled due to drought regulations, where was it located?","['ymca', 'california', 'park', 'first floor', 'school']",B
Why does this person eat so much?,"['gain weight', 'promise to do', 'catch cold', 'finish food', 'fear death']",A
"So as not to disrupt instruction, there were always spare pencils in the what?","['on teachers desk', 'cabinet', 'classroom', 'backpack', 'store']",C
"If you like learning about science, you are all?","['frustration', 'experiment', 'invent', 'smiles', 'gain information']",D
What gets rid of a mundane routine?,"['sophisticated', 'imprevist', 'arcane', 'heavenly', 'new']",E
What do you do after you reproduce?,"['accidently got pregnant somehow', 'have children', 'raise children', 'offspring', 'extra copies for gang']",C
"When someone is watching a film that is a documentary, what are they hoping to gain?","['like', 'insight', 'fear', 'being entertained', 'awareness']",B
Hunger is an effective motivator for what?,"['spend money', 'eat quickly', 'taco tuesday', 'begin work', 'have lunch']",D
Where could you find some airplanes that are not being used?,"['war', 'aircraft carrier', 'sky', 'graveyard', 'crash']",B
When people get older what happens to their hair?,"['long or short', 'curled', 'very thin', 'coloured', 'lightweight']",C
What is a place that has only one ceiling and which could be on ground level?,"['house', 'building', 'loft', 'classroom', 'airplane']",D
"The tennis court enjoyed older, more refined clientele, where was it located?","['wimbledon', 'park', 'health club', 'high school', 'college campus']",C
What is my biggest fear when opening a business?,"['making money', 'stress', 'too many customers', 'failure', 'success']",D
"Billy likes eating breakfast in bed, but he doesn't do it often.  He likes his clean sheets too much. Why doesn't he eat breakfast in bed that often?","['pleasure', 'indigestion', 'convenience', 'spills', 'feel guilty']",D
Where is a stereotypical place you would find police?,"['town', 'wrong place', 'donut shop', 'station', 'direct traffic']",C
John hated lying.  It made him do something.  What did lying make him do?,"['avoid eye contact', 'feel guilty', 'blush', 'turn purple', 'fall asleep']",B
Where is a very bad place for bad bacteria?,"['sores', 'septic tank', 'petri dish', 'mouth', 'finger']",D
What might a person heading overseas do?,"['shout at', 'feel happy', 'cross street', 'board ship', 'get pasport']",D
"In the morning you return to work, in the evening you?","['get life', 'go to meeting', 'get out of bed', 'dressed', 'leave work']",E
Why might someone without much to do keep driving?,"['boredom', 'enjoy', 'moving', 'fatigue', 'injuries']",A
"John likes Disney films and there was nothing good on, so he decided to see what?","['disneyland', 'movie', 'drawer', 'cabinet', 'microwave']",B
Where can a human take flight?,"['school', 'aircraft', 'band', 'factory', 'car']",B
"When traveling, where is someone most likely to find mirrors on the ceiling?","['car', 'at hotel', 'bedroom', 'dressing room', 'a bar']",B
If I want to watch a movie without leaving my home what might I use?,"['drive in movie', 'drive in movie', 'television', 'video store', 'show']",C
What will happen if you inject water into yourself?,"['dilute', 'thin blood', 'take several forms', 'wet clothes', 'move mountains']",B
What do you have to do to get something from a store?,"['steal', 'purchase', 'work hard', 'proactive', 'reach for']",B
What might happen to someone if they were found guilty of committing perjury?,"['embarrassment', 'mistrial', 'going to jail', 'laywer', 'tension']",C
What can happen to a dog wiggling during grooming?,"['injury', 'mistakes', 'late', 'pain', 'beauty']",A
What city is likely to have a tearoom?,"['tea shop', 'london', 'restaurant', 'building', 'england']",B
Where could you find super computers?,"['library', 'post office', 'university', 'technical store', 'large city']",C
